2019-05-25 18:23:50.732843,euclidean;lda-dr;,0,None,kfold_cross_val_predictions,5,0.8699118005593135,0.9162533672364744,0.828032216230974,0.6278759700523059,0.5485171579607562,0.7340820976058196,0.8072171795439451
2019-05-25 18:23:59.918609,euclidean;pca;,0,None,kfold_cross_val_predictions,5,0.8421287879245466,0.8977244922926352,0.7930175414647465,0.5664858768307044,0.4841517350873214,0.68256125344738,0.768545494797432
2019-05-25 18:24:10.284799,mahalanobis;pca;,0,None,kfold_cross_val_predictions,5,0.8566112365861935,0.8819277108433735,0.8327076650058016,0.55398223645894,0.5085714285714286,0.6082976937527479,0.7829887093203454
